"Los Angeles, CA - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Los Angeles,city,All Homes,"$752,500",1.1%,3.0%,5.8%,6.3%,5.5%,10.5%,3.9%,-4.1%,-4.3%,"$1,080",1.1%,3.1%,5.9%,3.0%,0.2%,-0.1%,-0.2%,"$859,000",1.1%,1.1%,7.5%,---,---,---,---,$551,0.4%,1.0%,7.5%,"$3,500",-0.8%,-4.1%,0.0%,$2.80,1.0%,0.7%,4.3%,0.48,0.2%,0.2%,-0.0%,"$3,149",0.6%,1.3%,3.4%
Acton,city,All Homes,"$634,700",0.7%,1.9%,3.5%,4.9%,4.7%,---,---,---,---,$283,0.7%,1.8%,3.7%,---,---,---,---,"$612,000",2.2%,-0.5%,0.7%,"$625,000",1.7%,-1.5%,-1.7%,$264,1.2%,-0.9%,-1.3%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,697",-2.7%,-2.5%,0.8%
Agoura Hills,city,All Homes,"$901,400",0.8%,2.1%,3.6%,3.9%,3.6%,10.1%,3.2%,-3.4%,-4.9%,$424,1.0%,2.2%,3.7%,3.7%,2.0%,2.4%,0.4%,"$865,000",-0.6%,-3.0%,-3.8%,"$881,000",19.0%,4.7%,-8.6%,$430,4.0%,1.8%,6.6%,"$3,450",-1.4%,-1.5%,-1.5%,$2.20,-1.4%,6.3%,-9.2%,---,---,---,---,"$3,735",-1.7%,-4.0%,-2.8%
Agua Dulce,city,All Homes,"$717,200",0.7%,2.1%,3.5%,4.9%,3.6%,---,---,---,---,"$1,401",0.7%,2.1%,3.5%,---,---,---,---,"$799,000",-7.4%,-9.9%,-3.2%,---,---,---,---,$299,2.0%,4.1%,6.7%,---,---,---,---,---,---,---,---,0,---,---,---,"$3,012",-1.4%,-3.3%,1.0%
Alhambra,city,All Homes,"$707,500",1.3%,3.3%,4.7%,5.5%,4.7%,10.7%,1.7%,0.5%,-8.2%,$891,1.4%,3.2%,4.7%,---,---,---,---,"$676,900",4.4%,1.2%,3.4%,---,---,---,---,$485,0.8%,1.7%,8.8%,"$2,500",0.0%,-2.0%,4.2%,$1.99,-2.4%,0.2%,-1.2%,0,---,---,---,"$2,735",0.7%,1.2%,4.0%
Alondra Park,city,All Homes,"$683,000",0.9%,2.8%,8.0%,6.7%,5.2%,---,---,---,---,$541,0.9%,2.9%,8.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,843",-1.1%,-2.5%,1.8%
Altadena,city,All Homes,"$899,500",1.1%,3.1%,5.8%,6.3%,5.2%,2.6%,-7.3%,-18.5%,-15.6%,"$1,241",1.1%,3.1%,5.8%,---,---,---,---,"$844,000",0.6%,-0.7%,-0.7%,"$859,300",-0.4%,0.9%,-2.1%,$589,2.7%,0.9%,9.6%,"$3,000",-9.1%,0.2%,15.6%,$2.24,-0.5%,1.4%,-0.5%,---,---,---,---,"$3,160",0.6%,0.1%,3.7%
Arcadia,city,All Homes,"$1,033,300",1.0%,2.4%,6.3%,5.8%,6.3%,8.9%,-1.6%,-3.8%,-6.4%,$971,1.0%,2.5%,6.4%,3.2%,0.3%,-0.9%,0.1%,"$1,489,400",9.2%,8.8%,-8.3%,---,---,---,---,$563,1.2%,1.2%,1.0%,"$3,300",-1.9%,3.1%,6.5%,$1.79,0.0%,-0.0%,-0.3%,---,---,---,---,"$3,221",-1.2%,-4.6%,-6.0%
Artesia,city,All Homes,"$600,200",1.1%,3.1%,5.3%,5.6%,4.9%,---,---,---,---,$452,1.1%,3.2%,5.4%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,739",1.3%,1.7%,5.2%
Avalon,city,All Homes,"$717,800",0.2%,0.4%,-0.8%,3.5%,2.5%,---,---,---,---,$696,0.1%,0.4%,-0.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Avocado Heights,city,All Homes,"$583,400",1.1%,2.7%,3.8%,6.4%,5.3%,---,---,---,---,"$1,006",1.1%,2.8%,3.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,569",-0.1%,1.1%,3.5%
Azusa,city,All Homes,"$501,900",1.4%,3.7%,6.0%,5.7%,5.5%,7.8%,1.6%,-7.4%,-5.1%,$956,1.4%,3.7%,6.0%,---,---,---,---,"$499,000",0.8%,0.5%,1.0%,"$507,900",2.9%,8.9%,9.2%,$349,3.2%,2.4%,5.1%,"$2,280",1.1%,-1.1%,-9.0%,$1.80,-0.1%,-0.1%,5.8%,---,---,---,---,"$2,434",0.2%,0.2%,3.9%
Baldwin Park,city,All Homes,"$491,100",1.3%,3.6%,4.7%,6.4%,6.2%,6.6%,1.8%,-4.4%,-5.7%,$921,1.3%,3.6%,4.8%,---,---,---,---,"$464,900",2.4%,1.3%,0.5%,---,---,---,---,$355,-0.7%,-2.2%,0.2%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,388",0.4%,-1.1%,4.4%
Bell,city,All Homes,"$478,500",1.2%,3.5%,6.9%,7.1%,6.3%,---,---,---,---,$409,1.2%,3.5%,6.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,474",0.3%,0.5%,3.4%
Bell Canyon,city,All Homes,"$1,751,600",-0.2%,-0.4%,0.5%,2.1%,2.6%,---,---,---,---,"$2,343",-0.2%,-0.4%,0.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Bell Gardens,city,All Homes,"$496,600",1.2%,3.4%,6.2%,6.8%,6.1%,---,---,---,---,$477,1.1%,3.5%,6.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,451",-0.3%,1.5%,3.4%
Bellflower,city,All Homes,"$551,400",1.2%,3.1%,5.4%,6.1%,5.3%,8.6%,1.8%,2.7%,-4.7%,"$1,387",1.2%,3.1%,5.4%,2.0%,-0.2%,0.2%,-1.1%,"$525,000",0.0%,1.4%,-0.8%,"$541,500",2.0%,4.3%,1.2%,$373,-2.8%,1.5%,2.2%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,638",1.6%,0.4%,3.5%
